id,full_name,first_name,last_name,is_active,league
77574,Carl Meinhold,Carl,Meinhold,False,NBA
1626257,Salah Mejri,Salah,Mejri,False,NBA
203539,Gal Mekel,Gal,Mekel,False,NBA
77576,Bill Melchionni,Bill,Melchionni,False,NBA
77575,Gary Melchionni,Gary,Melchionni,False,NBA
1629740,Nicolo Melli,Nicolo,Melli,False,NBA
203097,Fab Melo,Fab,Melo,False,NBA
1629001,De'Anthony Melton,De'Anthony,Melton,True,NBA
77577,Ed Melvin,Ed,Melvin,False,NBA
77578,Dean Meminger,Dean,Meminger,False,NBA
77579,Chuck Mencel,Chuck,Mencel,False,NBA
77580,John Mengelt,John,Mengelt,False,NBA
77581,Ken Menke,Ken,Menke,False,NBA
1641877,Nathan Mensah,Nathan,Mensah,True,NBA
200822,Pops Mensah-Bonsu,Pops,Mensah-Bonsu,False,NBA
1500,Ron Mercer,Ron,Mercer,False,NBA
77582,Joe Meriweather,Joe,Meriweather,False,NBA
77583,Porter Meriwether,Porter,Meriwether,False,NBA
1630241,Sam Merrill,Sam,Merrill,True,NBA
77584,Tom Meschery,Tom,Meschery,False,NBA
1629002,Chimezie Metu,Chimezie,Metu,False,NBA
684,Loren Meyer,Loren,Meyer,False,NBA
77586,Dave Meyers,Dave,Meyers,False,NBA
77587,Stan Miasek,Stan,Miasek,False,NBA
77588,Larry Micheaux,Larry,Micheaux,False,NBA
203995,Vasilije Micić,Vasilije,Micić,True,NBA
1626175,Jordan Mickey,Jordan,Mickey,False,NBA
203114,Khris Middleton,Khris,Middleton,True,NBA
77589,Zigmund Mihalik,Zigmund,Mihalik,False,NBA
2036,Chris Mihm,Chris,Mihm,False,NBA
1628450,Eric Mika,Eric,Mika,False,NBA
77590,Ed Mikan,Ed,Mikan,False,NBA
600012,George Mikan,George,Mikan,False,NBA
77591,Larry Mikan,Larry,Mikan,False,NBA
77593,Vern Mikkelsen,Vern,Mikkelsen,False,NBA
77594,Al Miksis,Al,Miksis,False,NBA
101223,Aaron Miles,Aaron,Miles,False,NBA
101139,CJ Miles,CJ,Miles,False,NBA
2032,Darius Miles,Darius,Miles,False,NBA
77596,Eddie Miles,Eddie,Miles,False,NBA
1527,Marko Milic,Marko,Milic,False,NBA
2545,Darko Milicic,Darko,Milicic,False,NBA
77598,Nat Militzok,Nat,Militzok,False,NBA
1889,Andre Miller,Andre,Miller,False,NBA
292,Anthony Miller,Anthony,Miller,False,NBA
77605,Bill Miller,Bill,Miller,False,NBA
77603,Bob Miller,Bob,Miller,False,NBA
1802,Brad Miller,Brad,Miller,False,NBA
1641706,Brandon Miller,Brandon,Miller,True,NBA
203121,Darius Miller,Darius,Miller,False,NBA
77602,Dick Miller,Dick,Miller,False,NBA
77599,Eddie Miller,Eddie,Miller,False,NBA
1641801,Emanuel Miller,Emanuel,Miller,True,NBA
77600,Harry Miller,Harry,Miller,False,NBA
77601,Jay Miller,Jay,Miller,False,NBA
1641757,Jordan Miller,Jordan,Miller,True,NBA
1631159,Leonard Miller,Leonard,Miller,True,NBA
1626259,Malcolm Miller,Malcolm,Miller,False,NBA
2034,Mike Miller,Mike,Miller,False,NBA
932,Oliver Miller,Oliver,Miller,False,NBA
203113,Quincy Miller,Quincy,Miller,False,NBA
397,Reggie Miller,Reggie,Miller,False,NBA
77604,Walt Miller,Walt,Miller,False,NBA
168,Chris Mills,Chris,Mills,False,NBA
77606,John Mills,John,Mills,False,NBA
201988,Patty Mills,Patty,Mills,True,NBA
371,Terry Mills,Terry,Mills,False,NBA
202407,Elijah Millsap,Elijah,Millsap,False,NBA
200794,Paul Millsap,Paul,Millsap,False,NBA
1629003,Shake Milton,Shake,Milton,True,NBA
1631303,Justin Minaya,Justin,Minaya,True,NBA
114,Harold Miner,Harold,Miner,False,NBA
1642434,Riley Minix,Riley,Minix,True,NBA
77609,Dirk Minniefield,Dirk,Minniefield,False,NBA
77610,Dave Minor,Dave,Minor,False,NBA
65,Greg Minor,Greg,Minor,False,NBA
77612,Mark Minor,Mark,Minor,False,NBA
1631169,Josh Minott,Josh,Minott,True,NBA
1641758,Judah Mintz,Judah,Mintz,True,NBA
202703,Nikola Mirotic,Nikola,Mirotic,False,NBA
77613,Wat Misaka,Wat,Misaka,False,NBA
1954,Jason Miskiri,Jason,Miskiri,False,NBA
1642274,Yves Missi,Yves,Missi,True,NBA
1642349,Ajay Mitchell,Ajay,Mitchell,True,NBA
1630558,Davion Mitchell,Davion,Mitchell,True,NBA
1628378,Donovan Mitchell,Donovan,Mitchell,True,NBA
77615,Mike Mitchell,Mike,Mitchell,False,NBA
77616,Murray Mitchell,Murray,Mitchell,False,NBA
417,Sam Mitchell,Sam,Mitchell,False,NBA
77614,Todd Mitchell,Todd,Mitchell,False,NBA
203183,Tony Mitchell,Tony,Mitchell,False,NBA
